Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/381855/jj-peterka,Buffalo Sabres,24/25,"$855,834",buffalo_sabres.png
https://www.eliteprospects.com/player/336828/jack-quinn,Buffalo Sabres,24/25,"$863,334",buffalo_sabres.png
https://www.eliteprospects.com/player/151146/nicolas-aube-kubel,Buffalo Sabres,24/25,"$1,500,000",buffalo_sabres.png
https://www.eliteprospects.com/player/420269/isak-rosen,Buffalo Sabres,25/26,"$894,167",buffalo_sabres.png
https://www.eliteprospects.com/player/236358/lukas-rousek,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/483754/olivier-nadeau,Buffalo Sabres,25/26,"$836,667",buffalo_sabres.png
https://www.eliteprospects.com/player/705668/brodie-ziemer,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/619102/vasili-zelenov,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/527459/stiven-sardaryan,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/670882/jake-richard,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/485574/aaron-huglen,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/564455/joel-ratkovic-berndtsson,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/310545/rasmus-dahlin,Buffalo Sabres,31/32,"$11,000,000",buffalo_sabres.png
https://www.eliteprospects.com/player/504240/owen-power,Buffalo Sabres,30/31,"$8,350,000",buffalo_sabres.png
https://www.eliteprospects.com/player/277056/henri-jokiharju,Buffalo Sabres,24/25,"$3,100,000",buffalo_sabres.png
https://www.eliteprospects.com/player/325127/mattias-samuelsson,Buffalo Sabres,29/30,"$4,285,714",buffalo_sabres.png
https://www.eliteprospects.com/player/326522/bowen-byram,Buffalo Sabres,24/25,"$3,850,000",buffalo_sabres.png
https://www.eliteprospects.com/player/131370/connor-clifton,Buffalo Sabres,25/26,"$3,333,333",buffalo_sabres.png
https://www.eliteprospects.com/player/290138/ryan-johnson,Buffalo Sabres,24/25,"$925,000",buffalo_sabres.png
https://www.eliteprospects.com/player/253923/jacob-bryson,Buffalo Sabres,24/25,"$900,000",buffalo_sabres.png
https://www.eliteprospects.com/player/267396/dennis-gilbert,Buffalo Sabres,24/25,"$825,000",buffalo_sabres.png
https://www.eliteprospects.com/player/108472/kale-clague,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/311766/jack-rathbone,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/539224/nikita-novikov,Buffalo Sabres,25/26,"$867,500",buffalo_sabres.png
https://www.eliteprospects.com/player/248344/colton-poolman,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/709023/vsevolod-komarov,Buffalo Sabres,25/26,"$835,000",buffalo_sabres.png
https://www.eliteprospects.com/player/595301/maxim-strbak,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/597574/adam-kleber,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/685705/gavin-mccarthy,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/705815/sean-keohane,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/807168/luke-osburn,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/660791/simon-pier-brunet,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/554907/patrick-geary,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/796404/norwin-panocha,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/146985/philip-nyberg,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/14728/nazem-kadri,Calgary Flames,28/29,"$7,000,000",calgary_flames.png
